name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
AAResultBase,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/AliasAnalysis.h,0.0,1.0,0.0,0.0,3.0,17.0,0.17647058823529413,0.0,19.0,3.0,1.0,2.0,11.0,1.0,1.0,9.0,9.0,9.0,10.0
AAManager,/home/peterterry/LLVM_Clang/llvm/include/llvm/Analysis/AliasAnalysis.h,0.0,0.0,0.0,0.0,0.0,5.0,0.4,2.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0
FoldingSetIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
FoldingSetVector,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,20.0,2.0,1.0,0.0,1.0,0.0,0.0,11.0,11.0,11.0,11.0
LineEditor,/home/peterterry/LLVM_Clang/llvm/include/llvm/LineEditor/LineEditor.h,0.0,1.0,0.0,0.0,1.0,15.0,0.0,2.0,13.0,11.0,0.36363636363636365,0.0,6.0,3.0,0.0,12.0,12.0,12.0,12.0
packed_endian_specific_integral,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Endian.h,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0
DynTypedNode,/home/peterterry/LLVM_Clang/llvm/tools/clang/include/clang/AST/ASTTypeTraits.h,0.0,0.0,0.0,0.0,0.0,24.0,0.0,14.0,151.0,2.0,1.0,1.0,15.0,0.0,4.0,14.0,16.0,16.0,18.0
DAGCombiner,/home/peterterry/LLVM_Clang/llvm/lib/CodeGen/SelectionDAG/DAGCombiner.cpp,1.0,1.0,0.0,0.0,1.0,179.0,0.9273743016759777,0.0,1798.0,14.0,0.7857142857142857,5.0,12.0,2.0,358.0,76.0,13.0,14.0,172.0
MatcherTableEmitter,/home/peterterry/LLVM_Clang/llvm/utils/TableGen/DAGISelMatcherEmitter.cpp,0.0,1.0,0.0,0.0,1.0,8.0,0.625,0.0,754.0,10.0,1.0,1.0,4.0,0.0,2.0,6.0,6.0,7.0,7.0
DWARFUnitIndex,/home/peterterry/LLVM_Clang/llvm/include/llvm/DebugInfo/DWARF/DWARFUnitIndex.h,0.0,1.0,0.0,0.0,1.0,13.0,0.15384615384615385,1.0,157.0,14.0,0.5714285714285714,2.0,8.0,0.0,1.0,11.0,11.0,11.0,12.0
