name,file_path,label,verb_in_name,template,is_inherited,constructors,total_methods,nonpublic_methods,static_methods,biggest_method_size,total_fields,nonpublic_fields,fields_class_refs,getters,setters,CG_edges,CG_no_entrance_vertexes,CG_no_out_vertexes,CG_comp_num,CG_strong_comp_num
TrailingZerosCounter,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/MathExtras.h,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
SpecificBumpPtrAllocator,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/Allocator.h,-1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
less_ptr,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ContextualFoldingSet,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,1.0,1.0,12.0,0.25,0.0,19.0,1.0,1.0,0.0,3.0,0.0,0.0,12.0,12.0,12.0,12.0
pointer_iterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/iterator.h,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
SmallVectorTemplateCommon,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/SmallVector.h,-1.0,0.0,0.0,1.0,1.0,25.0,0.24,0.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,25.0,25.0,25.0,25.0
FoldingSet,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/FoldingSet.h,-1.0,1.0,0.0,1.0,2.0,12.0,0.25,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,12.0,12.0,12.0
deref,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
StringMapConstIterator,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,-1.0,1.0,0.0,0.0,2.0,7.0,0.14285714285714285,0.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,6.0,6.0,7.0
StringMap,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/StringMap.h,-1.0,1.0,0.0,1.0,7.0,19.0,0.0,0.0,84.0,1.0,1.0,0.0,2.0,0.0,1.0,18.0,18.0,18.0,19.0
build_index_impl,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zippy,/home/peterterry/LLVM_Clang/llvm/include/llvm/ADT/STLExtras.h,-1.0,0.0,0.0,0.0,1.0,4.0,0.5,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0
ConstantLog2,/home/peterterry/LLVM_Clang/llvm/include/llvm/Support/PointerLikeTypeTraits.h,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
